epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,81.3171,1.84955,2.05242,1.56801,0.69294,0.84918,0.84894,0.47384,1.58036,1.21033,1.34912,0.000662132,0.000662132,0.000662132
2,170.918,1.65936,1.33503,1.45147,0.86362,0.84866,0.90792,0.57368,1.28337,1.10109,1.25363,0.00132222,0.00132222,0.00132222
3,269.366,1.60468,1.31489,1.45328,0.89854,0.77608,0.88349,0.60382,1.184,1.07135,1.2342,0.00197571,0.00197571,0.00197571
4,359.847,1.5681,1.25834,1.41396,0.7949,0.71649,0.81728,0.54052,1.22946,1.14299,1.25636,0.0019703,0.0019703,0.0019703
5,444.579,1.51809,1.23568,1.40773,0.88031,0.87197,0.93239,0.63609,1.15643,0.80055,1.21729,0.0019604,0.0019604,0.0019604
6,527.744,1.48493,1.18939,1.37519,0.86111,0.84536,0.90537,0.59434,1.27253,0.93049,1.30386,0.0019505,0.0019505,0.0019505
7,611.556,1.45013,1.14756,1.35917,0.84331,0.92268,0.9315,0.63905,1.16829,0.7369,1.23608,0.0019406,0.0019406,0.0019406
8,695.731,1.42361,1.12071,1.34644,0.87993,0.90664,0.94943,0.67807,1.05524,0.71178,1.14745,0.0019307,0.0019307,0.0019307
9,778.785,1.39091,1.12026,1.32974,0.93424,0.87881,0.9445,0.64069,1.18299,0.75995,1.23769,0.0019208,0.0019208,0.0019208
10,861.667,1.37444,1.08755,1.31645,0.8804,0.79682,0.88352,0.56109,1.33365,0.8905,1.36836,0.0019109,0.0019109,0.0019109
11,944.875,1.36804,1.06191,1.31226,0.95514,0.90722,0.95847,0.69712,1.01687,0.59611,1.13103,0.001901,0.001901,0.001901
12,1027.99,1.33171,1.04316,1.29574,0.93664,0.91436,0.95721,0.66748,1.10747,0.64692,1.20368,0.0018911,0.0018911,0.0018911
13,1111.02,1.31672,1.01875,1.28766,0.94217,0.83981,0.93614,0.65811,1.06219,0.64978,1.20193,0.0018812,0.0018812,0.0018812
